sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,50000,3270,943,8520,3,234483,0.00302,24.39471825076209,108.93493881758924
/scripts/jquery-ui.js,12500,255,234,406,8,4441,0.00216,6.105942498629826,2768.3884613249297
/scripts/jmenu.js,12500,203,192,337,1,3960,0.00168,6.105915655323503,64.5402549853275
/styles/displaytag.css,12500,199,190,332,1,4099,4.8E-4,6.105885829704402,18.30723455119297
/styles/common.css,12500,194,187,329,1,3824,5.6E-4,6.105864951944401,3.604803447322505
/scripts/jquery.js,12500,224,211,364,5,4334,4.8E-4,6.105826179340326,1643.6742515020333
/scripts/Chart.js,12500,256,235,411,10,4602,5.6E-4,6.105757582862457,3388.394675036775
/styles/jmenu.css,12500,197,187,331,1,4336,2.4E-4,6.105742670788613,11.573087014343123
/styles/cookies.css,12500,197,185,334,1,3953,1.6E-4,6.105712846859441,16.80112677038197
/images/arrow_down.png,12500,193,183,326,2,3953,3.2E-4,6.105686005572293,2.786648449131332
/security/login.do,12500,3203,890,8740,9,234520,3.2E-4,6.105802319521032,20.745690265226283
/j_spring_security_check,12500,6811,3143,17056,3,181183,0.00216,6.105858986896338,28.724721667471012
/company/edit.do,25000,3475,1127,9015,2,241588,0.00264,12.216563510004388,44.183085002665656
/j_spring_security_logout,12500,3489,1158,8821,7,158368,0.00328,6.11626181906434,28.304001194261282
TOTAL,225000,1970,325,4818,1,241588,0.0016533333333333333,109.77623212842941,8139.47114364406
