sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/,1166,26,21,41,13,397,0.0,1.791145657316661,8.35971883256782
/scripts/jquery.js,392,12,10,22,4,78,0.0,0.602288388586635,162.20161001231466
/scripts/jmenu.js,392,5,4,9,2,46,0.0,0.6023059714334883,6.364826279573684
/styles/jmenu.css,392,4,4,7,2,30,0.0,0.6023087477663103,1.1310934784713036
/scripts/Chart.js,392,20,15,35,9,117,0.0,0.6022772841596464,334.41034489977153
/styles/displaytag.css,392,4,4,7,2,71,0.0,0.6022911647573628,1.7956981699260044
/scripts/jquery-ui.js,392,18,12,35,7,197,0.0,0.602286537820368,273.65041770184666
/styles/cookies.css,392,4,4,8,2,63,0.0,0.6022976425885892,1.6469076164531737
/styles/common.css,391,4,4,8,2,24,0.0,0.6014820147647683,0.3442074811056193
/security/login.do,391,19,14,25,10,224,0.0,0.6019922710966729,1.991731326788656
/j_spring_security_check,390,48,34,64,14,1533,0.0,0.6102933007008984,3.2820411073615454
/position/company/list.do,1555,78,69,99,38,1907,0.0,2.400991895301313,19.564219307545446
/position/company/create.do,390,34,32,42,26,86,0.0,0.6102379145510448,3.8622577384817594
/position/company/edit.do,1170,68,36,124,19,2175,0.0,1.8145921122627653,15.543265505360026
/position/company/display.do,390,39,34,45,27,969,0.0,0.6099201161037677,3.296624641965163
/position/company/delete.do,389,45,36,70,26,304,0.0,0.6103435182773564,3.2984775685028227
/j_spring_security_logout,386,30,22,48,15,167,0.0,0.6075219400410471,2.7955501772201305
TOTAL,9362,37,26,81,2,2175,0.0,14.377926611450432,842.6090705685785
