sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/security/login.do,3500,1711,610,3878,2,79842,0.003142857142857143,2.1484136420583275,7.288475297309756
/j_spring_security_check,3500,3476,1842,7562,2,88468,0.004,2.1483899045316908,10.093643496447791
/,7000,1601,568,3656,2,78448,0.003285714285714286,4.291613941123962,19.158260970783
/curricula/hacker/list.do,10500,1704,663,3949,2,89000,0.003619047619047619,6.438166925113082,23.262843165793836
/curricula/hacker/create.do,7000,1703,682,3942,2,68131,0.004428571428571428,4.2968932234310815,15.524911401514593
/curricula/hacker/display.do,35000,1704,663,3981,1,77745,0.0030285714285714286,21.47794000781797,77.63026128508498
/curricula/personalData/hacker/create.do,3500,1669,690,4046,2,58731,0.0037142857142857142,2.150293207838126,7.770327494455316
/curricula/personalData/hacker/edit.do,3500,1730,641,4012,2,68203,0.004285714285714286,2.1519616975411684,7.777941320462143
/curricula/positionData/hacker/create.do,3500,1708,676,4078,3,81133,0.004,2.1551737408705303,7.7868946838560245
/curricula/positionData/hacker/edit.do,10500,1678,655,3858,2,103434,0.0029523809523809524,6.4659193706012505,23.376039487946912
/curricula/educationData/hacker/create.do,3500,1723,667,4180,3,70667,0.0034285714285714284,2.1577673150038192,7.7981662599789034
/curricula/educationData/hacker/edit.do,3500,1699,669,4022,2,50918,0.003142857142857143,2.158000138112009,7.802427124913371
/curricula/miscellaneousData/hacker/create.do,3500,1702,695,3886,2,58538,0.003142857142857143,2.1609086682690317,7.810350547041747
/curricula/miscellaneousData/hacker/edit.do,28000,1667,657,3903,2,61968,0.0027142857142857142,17.280846465233715,62.47346818700314
/curricula/miscellaneousData/hacker/addAttachment.do,14000,1653,639,3865,2,74246,0.002785714285714286,8.65276990616071,31.281185220111013
/curricula/educationData/hacker/delete.do,3500,1751,648,3989,2,53753,0.002285714285714286,2.177960532866047,7.874682474744992
/curricula/miscellaneousData/hacker/deleteAttachment.do,3500,1713,647,3916,2,71979,0.0034285714285714284,2.1875724633378484,7.903922095739734
/curricula/miscellaneousData/hacker/delete.do,3500,1681,669,3834,2,91285,0.003142857142857143,2.193062153887798,7.924809992703369
/curricula/hacker/delete.do,3500,1674,663,3764,3,61706,0.0025714285714285713,2.1952533604624835,7.9347199958258825
/j_spring_security_logout,3500,1735,666,3908,2,44100,0.003142857142857143,2.195625185451913,10.15657615816092
TOTAL,157500,1727,672,4018,1,103434,0.003149206349206349,96.55119144170239,356.648683624121
