sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
/security/login.do,392,1715,195,3886,2,59162,0.0,1.9220397156165727,7.251916255516059
/j_spring_security_check,389,4251,430,8441,3,100744,0.0,1.9035408796414102,9.613613543889096
/,598,2203,225,6235,2,52540,0.0,2.932278105493363,14.228122532939093
/curricula/rookie/list.do,969,2455,220,5589,2,79399,0.0,4.742142920063816,18.962851034499213
/curricula/rookie/create.do,742,1901,200,4050,2,71926,0.0,3.6350275566442134,14.52849911971831
/curricula/rookie/display.do,3063,2479,346,6310,2,81856,0.0,15.006099442966534,60.062763291090405
/curricula/personalData/rookie/create.do,357,2031,214,4858,3,59276,0.0,1.7542049324115159,7.014900300229471
/curricula/personalData/rookie/edit.do,355,1994,214,4452,3,60847,0.0,1.7444374557748252,6.976602924573965
/curricula/positionData/rookie/create.do,352,2067,214,4978,3,66000,0.0,1.7229227034223509,6.892565544176815
/curricula/positionData/rookie/edit.do,943,2592,402,6104,2,76409,0.0,4.621099262976322,18.49986879882047
/curricula/educationData/rookie/create.do,339,2464,237,5360,3,79177,0.0,1.6744544439724578,6.701411377708022
/curricula/educationData/rookie/edit.do,336,1916,225,3615,2,52446,0.0,1.656600517687662,6.630374283557254
/curricula/miscellaneousData/rookie/create.do,329,2373,256,5599,3,44521,0.0,1.6370684035846326,6.55238941546955
/curricula/miscellaneousData/rookie/edit.do,2314,2841,423,6696,2,101834,0.0,11.355606155778894,45.469403865948394
/curricula/miscellaneousData/rookie/addAttachment.do,1174,2702,416,6537,2,102605,0.0,5.7509270553196075,23.026880777256896
/curricula/educationData/rookie/delete.do,286,2477,416,6280,3,44850,0.0,1.4143292321082406,5.66376404902431
/curricula/miscellaneousData/rookie/deleteAttachment.do,256,3427,428,8192,3,57145,0.0,1.2735621433652884,5.100097911308336
/curricula/miscellaneousData/rookie/delete.do,236,3229,439,8221,3,72155,0.0,1.1754685686677857,4.707613867291591
/curricula/rookie/delete.do,225,2750,438,6647,3,51313,0.0,1.1208919310726189,4.4888559600937565
/j_spring_security_logout,219,2708,441,7414,3,56289,0.0,1.2008422345535499,5.991311500326256
TOTAL,13874,2537,252,6135,2,102605,0.0,67.8899980426698,276.8167808952339
